iter	Passed	Remaining
870	10637	1575
871	10649	1563
872	10659	1550
873	10670	1538
874	10681	1525
875	10692	1513
876	10701	1500
877	10712	1488
878	10722	1476
879	10734	1463
880	10745	1451
881	10756	1439
882	10766	1426
883	10776	1414
884	10786	1401
885	10797	1389
886	10807	1376
887	10817	1364
888	10826	1351
889	10836	1339
890	10845	1326
891	10854	1314
892	10864	1301
893	10875	1289
894	10885	1277
895	10894	1264
896	10903	1252
897	10914	1239
898	10924	1227
899	10934	1214
900	10945	1202
901	10955	1190
902	10966	1178
903	10976	1165
904	10986	1153
905	10996	1140
906	11006	1128
907	11016	1116
908	11026	1103
909	11035	1091
910	11044	1078
911	11056	1066
912	11068	1054
913	11078	1042
914	11088	1030
915	11098	1017
916	11109	1005
917	11119	993
918	11128	980
919	11139	968
920	11150	956
921	11161	944
922	11171	931
923	11182	919
924	11192	907
925	11202	895
926	11214	883
927	11222	870
928	11233	858
929	11242	846
930	11254	834
931	11262	821
932	11272	809
933	11281	797
934	11290	784
935	11299	772
936	11309	760
937	11319	748
938	11330	736
939	11339	723
940	11349	711
941	11361	699
942	11372	687
943	11382	675
944	11392	663
945	11402	650
946	11412	638
947	11422	626
948	11433	614
949	11445	602
950	11457	590
951	11467	578
952	11477	566
953	11488	553
954	11500	541
955	11510	529
956	11521	517
957	11532	505
958	11543	493
959	11553	481
960	11564	469
961	11574	457
962	11584	445
963	11595	433
964	11606	420
965	11615	408
966	11626	396
967	11635	384
968	11645	372
969	11654	360
970	11664	348
971	11674	336
972	11685	324
973	11694	312
974	11705	300
975	11715	288
976	11726	276
977	11736	264
978	11746	251
979	11756	239
980	11765	227
981	11775	215
982	11786	203
983	11796	191
984	11806	179
985	11816	167
986	11828	155
987	11839	143
988	11848	131
989	11858	119
990	11868	107
991	11878	95
992	11888	83
993	11897	71
994	11908	59
995	11919	47
996	11928	35
997	11938	23
998	11947	11
999	11956	0
